hotel_id,check-in,check-out,rates
21498,13-08-2024,14-08-2024,"{'21498_14': {'Room_name': 'Executive Room, 1 King Bed', 'Rate_name': 'Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 742, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_15': {'Room_name': 'Executive Room, 1 King Bed', 'Rate_name': 'Breakfast Included, Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 756, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_16': {'Room_name': 'Executive Room, 1 King Bed', 'Rate_name': 'Breakfast Included, Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 840, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_17': {'Room_name': 'Executive Room, 1 Double Bed, City View', 'Rate_name': 'Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 723, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_18': {'Room_name': 'Executive Room, 1 Double Bed, City View', 'Rate_name': 'Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 803, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_19': {'Room_name': 'Executive Room, 1 Double Bed, City View', 'Rate_name': 'Breakfast Included, Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 811, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_20': {'Room_name': 'Executive Room, 1 Double Bed, City View', 'Rate_name': 'Breakfast Included, Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 901, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_21': {'Room_name': 'Junior Suite', 'Rate_name': 'Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 1034, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_22': {'Room_name': 'Junior Suite', 'Rate_name': 'Breakfast Included, Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 1122, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_23': {'Room_name': 'Junior Suite', 'Rate_name': 'Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 1149, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_24': {'Room_name': 'Junior Suite', 'Rate_name': 'Breakfast Included, Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 1247, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_25': {'Room_name': 'Suite', 'Rate_name': 'Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 1120, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_26': {'Room_name': 'Suite', 'Rate_name': 'Breakfast Included, Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 1209, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_27': {'Room_name': 'Suite', 'Rate_name': 'Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 1245, 'Currency': 'AUD', 'Top Deal': False}}"
21498,13-08-2024,14-08-2024,"{'21498_28': {'Room_name': 'Suite', 'Rate_name': 'Breakfast Included, Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 16:00 (GMT+01:00) on Aug 12, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 1343, 'Currency': 'AUD', 'Top Deal': False}}"
21416,13-08-2024,14-08-2024,"{'21416_1': {'Room_name': 'Small Double Room', 'Rate_name': 'Internet Included - Non-refundable', 'Number of Guests': 2, 'Cancellation Policy': 'Non-refundable', 'Price': 437, 'Currency': 'AUD', 'Top Deal': False}}"
21416,13-08-2024,14-08-2024,"{'21416_2': {'Room_name': 'Small Double Room', 'Rate_name': 'Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 11, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 521, 'Currency': 'AUD', 'Top Deal': False}}"
21416,13-08-2024,14-08-2024,"{'21416_3': {'Room_name': 'Small Double Room', 'Rate_name': 'Breakfast Included, Internet Included', 'Number of Guests': 2, 'Cancellation Policy': 'This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 14:00 (GMT+01:00) on Aug 11, 2024 are subject to a 1 night room & tax penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.', 'Price': 599, 'Currency': 'AUD', 'Top Deal': False}}"
